"","Cold_To_Go_Cups","Freq","Year","Percentage"
"1","A couple times a month",4948,2018,25.1909174218511
"2","A couple times a week",2044,2018,10.4062722736992
"3","A couple times a year or less",4835,2018,24.615619590673
"4","Every day or almost every day",660,2018,3.36014662457998
"5","Every few months",3539,2018,18.0175134914978
"6","Never",3616,2018,18.4095305976988
"7","A couple times a month",256,2019,25.6
"8","A couple times a week",187,2019,18.7
"9","A couple times a year or less",286,2019,28.6
"10","Every day or almost every day",50,2019,5
"11","Never",221,2019,22.1
