"","Plastic_Bags","Freq","Year","Percentage"
"1","A couple times a month",6918,2018,35.2204459830974
"2","A couple times a week",6671,2018,33.9629365645046
"3","A couple times a year or less",1431,2018,7.28540881783932
"4","Every day or almost every day",2191,2018,11.1546685673557
"5","Every few months",1948,2018,9.91752367376031
"6","Never",483,2018,2.45901639344262
"7","A couple times a month",302,2019,30.2
"8","A couple times a week",404,2019,40.4
"9","A couple times a year or less",98,2019,9.8
"10","Every day or almost every day",154,2019,15.4
"11","Never",42,2019,4.2
