"","Item","Frequency","Count","Total","Percentage"
"1","Black Plastic Containers","Every day or almost every day",433,19642,2.20445983097444
"2","Black Plastic Containers","A couple times a week",2385,19642,12.1423480297322
"3","Black Plastic Containers","A couple times a month",7913,19642,40.2861215762142
"4","Black Plastic Containers","A couple times a year or less",2973,19642,15.135933204358
"5","Black Plastic Containers","Never",1577,19642,8.02871398024641
"6","Black Plastic Containers",NA,4361,19642,22.2024233784747
"7","Disposable Cold To-Go Cups","Every day or almost every day",660,19642,3.36014662457998
"8","Disposable Cold To-Go Cups","A couple times a week",2044,19642,10.4062722736992
"9","Disposable Cold To-Go Cups","A couple times a month",4948,19642,25.1909174218511
"10","Disposable Cold To-Go Cups","A couple times a year or less",4835,19642,24.615619590673
"11","Disposable Cold To-Go Cups","Never",3616,19642,18.4095305976988
"12","Disposable Cold To-Go Cups",NA,3539,19642,18.0175134914978
"13","Disposable Cutlery","Every day or almost every day",877,19642,4.46492210569189
"14","Disposable Cutlery","A couple times a week",2488,19642,12.6667345484167
"15","Disposable Cutlery","A couple times a month",5883,19642,29.9511251400061
"16","Disposable Cutlery","A couple times a year or less",4543,19642,23.1290092658589
"17","Disposable Cutlery","Never",2063,19642,10.5030037674371
"18","Disposable Cutlery",NA,3788,19642,19.2852051725893
"19","Disposable Hot To-Go Cups","Every day or almost every day",3192,19642,16.2508909479686
"20","Disposable Hot To-Go Cups","A couple times a week",5228,19642,26.616434171673
"21","Disposable Hot To-Go Cups","A couple times a month",5640,19642,28.7139802464108
"22","Disposable Hot To-Go Cups","A couple times a year or less",2372,19642,12.0761633234905
"23","Disposable Hot To-Go Cups","Never",1071,19642,5.45260156806842
"24","Disposable Hot To-Go Cups",NA,2139,19642,10.8899297423888
"25","Paper Bags","Every day or almost every day",537,19642,2.73393748090826
"26","Paper Bags","A couple times a week",2995,19642,15.247938091844
"27","Paper Bags","A couple times a month",6913,19642,35.1949903268506
"28","Paper Bags","A couple times a year or less",3409,19642,17.3556664290805
"29","Paper Bags","Never",2026,19642,10.3146319112107
"30","Paper Bags",NA,3762,19642,19.1528357601059
"31","Plastic Bags","Every day or almost every day",2191,19642,11.1546685673557
"32","Plastic Bags","A couple times a week",6671,19642,33.9629365645046
"33","Plastic Bags","A couple times a month",6918,19642,35.2204459830974
"34","Plastic Bags","A couple times a year or less",1431,19642,7.28540881783932
"35","Plastic Bags","Never",483,19642,2.45901639344262
"36","Plastic Bags",NA,1948,19642,9.91752367376031
"37","Plastic Straws","Every day or almost every day",767,19642,3.90489766826189
"38","Plastic Straws","A couple times a week",2375,19642,12.0914367172386
"39","Plastic Straws","A couple times a month",5606,19642,28.5408817839324
"40","Plastic Straws","A couple times a year or less",3995,19642,20.3390693412076
"41","Plastic Straws","Never",3483,19642,17.7324101415334
"42","Plastic Straws",NA,3416,19642,17.3913043478261
"43","Styrofoam Containers","Every day or almost every day",330,19642,1.68007331228999
"44","Styrofoam Containers","A couple times a week",1981,19642,10.0855310049893
"45","Styrofoam Containers","A couple times a month",6983,19642,35.5513695143061
"46","Styrofoam Containers","A couple times a year or less",3872,19642,19.7128601975359
"47","Styrofoam Containers","Never",1711,19642,8.71092556766114
"48","Styrofoam Containers",NA,4765,19642,24.2592404032176
"49","White, Clear, or Any Colour Plastic Containers","Every day or almost every day",2097,19642,10.6761022299155
"50","White, Clear, or Any Colour Plastic Containers","A couple times a week",5774,19642,29.3961918338255
"51","White, Clear, or Any Colour Plastic Containers","A couple times a month",7150,19642,36.4015884329498
"52","White, Clear, or Any Colour Plastic Containers","A couple times a year or less",1546,19642,7.87088891151614
"53","White, Clear, or Any Colour Plastic Containers","Never",567,19642,2.88667141838917
"54","White, Clear, or Any Colour Plastic Containers",NA,2508,19642,12.7685571734039
